1;Estudiante 00001;5.000.000;5.100.000;5.000.000;4.600.000;4.400.000;4.200.000;4.200.000;5.800.000
2;Estudiante 00002;5.600.000;5.500.000;5.400.000;5.100.000;5.800.000;5.600.000;4.700.000;7.000.000
3;Estudiante 00003;6.300.000;6.600.000;6.400.000;6.400.000;6.300.000;6.300.000;6.800.000;6.600.000
4;Estudiante 00004;3.800.000;4.700.000;4.700.000;4.100.000;4.400.000;4.200.000;3.800.000;6.400.000
5;Estudiante 00005;5.800.000;5.800.000;5.500.000;5.600.000;5.300.000;5.300.000;5.500.000;5.900.000
6;Estudiante 00006;6.400.000;6.200.000;6.700.000;6.400.000;6.300.000;6.000.000;6.200.000;5.800.000
7;Estudiante 00007;4.200.000;4.000.000;5.000.000;4.200.000;4.400.000;4.300.000;4.000.000;5.700.000
8;Estudiante 00008;3.600.000;4.200.000;4.300.000;4.200.000;3.800.000;4.700.000;3.500.000;6.400.000
9;Estudiante 00009;4.100.000;4.700.000;3.700.000;4.600.000;3.800.000;4.100.000;4.500.000;6.700.000
10;Estudiante 00010;5.500.000;5.200.000;5.700.000;5.800.000;6.200.000;5.900.000;5.500.000;6.400.000
11;Estudiante 00011;3.900.000;5.000.000;4.300.000;4.200.000;4.700.000;4.400.000;4.000.000;6.700.000
12;Estudiante 00012;4.200.000;4.200.000;4.800.000;4.700.000;4.200.000;4.800.000;4.900.000;6.700.000
13;Estudiante 00013;4.300.000;4.300.000;4.900.000;4.700.000;4.700.000;4.400.000;4.700.000;7.000.000
14;Estudiante 00014;4.200.000;4.700.000;4.700.000;4.400.000;4.700.000;4.000.000;5.100.000;6.200.000
15;Estudiante 00015;6.300.000;5.500.000;5.900.000;6.300.000;6.100.000;5.600.000;5.500.000;6.100.000
16;Estudiante 00016;4.800.000;4.400.000;4.100.000;4.400.000;4.500.000;4.800.000;4.100.000;6.300.000
17;Estudiante 00017;4.400.000;4.300.000;4.100.000;3.800.000;4.600.000;4.600.000;4.200.000;6.500.000
18;Estudiante 00018;3.800.000;4.300.000;3.800.000;4.100.000;3.300.000;3.500.000;3.800.000;5.700.000
19;Estudiante 00019;6.100.000;5.200.000;5.700.000;5.100.000;5.200.000;5.100.000;5.500.000;6.800.000
20;Estudiante 00020;5.400.000;5.400.000;4.900.000;5.200.000;4.400.000;4.600.000;5.200.000;5.600.000
21;Estudiante 00021;5.000.000;4.700.000;4.700.000;4.900.000;5.300.000;4.900.000;5.700.000;5.700.000
22;Estudiante 00022;3.800.000;4.900.000;3.900.000;4.100.000;4.300.000;4.800.000;4.000.000;5.800.000
23;Estudiante 00023;6.100.000;6.600.000;6.300.000;5.600.000;6.400.000;6.100.000;6.400.000;6.500.000
24;Estudiante 00024;6.000.000;5.900.000;5.800.000;6.700.000;5.700.000;6.500.000;6.100.000;6.100.000
25;Estudiante 00025;5.700.000;5.200.000;5.700.000;5.100.000;5.400.000;6.000.000;5.700.000;7.000.000
26;Estudiante 00026;5.300.000;5.500.000;5.300.000;4.800.000;4.900.000;4.700.000;4.800.000;6.600.000
27;Estudiante 00027;3.900.000;3.500.000;4.500.000;4.100.000;3.700.000;4.500.000;4.300.000;6.200.000
28;Estudiante 00028;3.600.000;4.000.000;4.500.000;3.400.000;4.000.000;3.500.000;4.400.000;6.100.000
29;Estudiante 00029;6.300.000;5.800.000;6.600.000;6.300.000;6.300.000;6.800.000;6.400.000;6.300.000
30;Estudiante 00030;3.900.000;4.300.000;4.500.000;4.200.000;4.500.000;4.500.000;3.900.000;5.900.000
31;Estudiante 00031;4.600.000;3.800.000;4.000.000;4.400.000;4.000.000;3.800.000;4.300.000;6.900.000
32;Estudiante 00032;3.900.000;4.700.000;4.200.000;3.700.000;4.400.000;4.500.000;3.800.000;6.600.000
33;Estudiante 00033;6.000.000;5.100.000;5.900.000;5.900.000;5.800.000;4.900.000;5.600.000;6.400.000
34;Estudiante 00034;5.900.000;5.200.000;5.700.000;5.600.000;4.700.000;5.200.000;5.700.000;6.400.000
35;Estudiante 00035;5.000.000;5.700.000;5.100.000;4.800.000;4.800.000;5.600.000;5.500.000;6.700.000
36;Estudiante 00036;5.000.000;4.800.000;5.300.000;5.600.000;4.900.000;4.900.000;5.700.000;5.900.000
37;Estudiante 00037;5.400.000;5.300.000;5.200.000;5.100.000;5.900.000;5.700.000;5.500.000;5.500.000
38;Estudiante 00038;4.500.000;5.100.000;4.000.000;4.800.000;5.000.000;4.100.000;4.500.000;6.000.000
39;Estudiante 00039;5.000.000;5.700.000;5.300.000;5.500.000;5.800.000;5.200.000;5.100.000;6.500.000
40;Estudiante 00040;4.800.000;4.000.000;4.100.000;4.200.000;3.800.000;4.600.000;4.400.000;6.900.000
41;Estudiante 00041;5.100.000;4.100.000;4.700.000;5.100.000;5.100.000;5.000.000;4.900.000;6.300.000
42;Estudiante 00042;5.000.000;4.700.000;4.700.000;5.100.000;4.400.000;4.800.000;4.500.000;6.000.000
43;Estudiante 00043;4.600.000;4.700.000;4.300.000;4.700.000;4.700.000;3.900.000;4.700.000;5.900.000
44;Estudiante 00044;6.200.000;6.000.000;5.700.000;5.500.000;6.000.000;5.400.000;5.300.000;5.500.000
45;Estudiante 00045;6.900.000;6.300.000;6.800.000;6.200.000;6.500.000;6.300.000;6.000.000;6.700.000
46;Estudiante 00046;3.500.000;4.000.000;3.900.000;3.800.000;4.600.000;4.300.000;3.800.000;6.500.000
47;Estudiante 00047;4.700.000;5.200.000;4.700.000;5.200.000;4.700.000;4.800.000;4.800.000;5.700.000
48;Estudiante 00048;5.000.000;4.900.000;4.900.000;5.000.000;5.000.000;5.000.000;5.200.000;6.800.000
49;Estudiante 00049;6.300.000;6.400.000;6.800.000;6.400.000;6.900.000;6.700.000;6.300.000;6.800.000
50;Estudiante 00050;4.900.000;5.900.000;5.500.000;5.900.000;5.800.000;5.100.000;5.500.000;5.800.000
51;Estudiante 00051;6.700.000;6.400.000;6.800.000;6.600.000;6.000.000;6.000.000;6.700.000;5.800.000
52;Estudiante 00052;6.800.000;5.800.000;6.000.000;6.600.000;6.200.000;6.700.000;6.300.000;6.700.000
53;Estudiante 00053;6.500.000;6.300.000;6.800.000;6.900.000;6.600.000;5.900.000;6.400.000;6.200.000
54;Estudiante 00054;6.700.000;6.500.000;6.800.000;6.300.000;6.300.000;6.200.000;7.000.000;6.600.000
55;Estudiante 00055;4.800.000;4.700.000;5.000.000;4.700.000;5.800.000;5.600.000;5.100.000;5.800.000
56;Estudiante 00056;6.900.000;6.700.000;6.400.000;6.500.000;6.700.000;6.300.000;6.100.000;5.700.000
57;Estudiante 00057;3.700.000;3.500.000;4.000.000;3.900.000;3.800.000;4.400.000;4.300.000;7.000.000
58;Estudiante 00058;6.200.000;6.900.000;6.700.000;6.700.000;6.700.000;6.600.000;7.000.000;6.700.000
59;Estudiante 00059;5.500.000;6.600.000;5.900.000;6.200.000;6.600.000;5.900.000;6.200.000;6.600.000
60;Estudiante 00060;5.600.000;5.700.000;6.200.000;6.100.000;5.900.000;6.000.000;6.400.000;5.600.000
61;Estudiante 00061;4.200.000;4.900.000;4.800.000;4.400.000;4.400.000;4.900.000;4.000.000;6.500.000
62;Estudiante 00062;5.200.000;4.800.000;4.500.000;4.500.000;4.900.000;5.200.000;4.800.000;5.700.000
63;Estudiante 00063;4.200.000;4.200.000;5.000.000;4.400.000;4.800.000;5.300.000;5.300.000;6.200.000
64;Estudiante 00064;4.900.000;5.400.000;5.300.000;4.400.000;4.400.000;4.300.000;4.900.000;6.900.000
65;Estudiante 00065;4.800.000;5.300.000;5.100.000;4.900.000;5.400.000;5.500.000;5.000.000;6.100.000
66;Estudiante 00066;5.700.000;4.600.000;5.400.000;4.600.000;5.000.000;5.300.000;5.100.000;6.300.000
67;Estudiante 00067;5.800.000;5.600.000;5.500.000;5.800.000;5.800.000;5.300.000;6.100.000;6.100.000
68;Estudiante 00068;6.100.000;6.100.000;6.400.000;5.900.000;5.900.000;5.500.000;5.500.000;6.600.000
69;Estudiante 00069;3.700.000;3.700.000;3.600.000;3.500.000;3.700.000;3.600.000;3.700.000;6.500.000
70;Estudiante 00070;4.200.000;5.200.000;4.900.000;5.100.000;4.700.000;4.600.000;4.500.000;5.700.000
71;Estudiante 00071;3.500.000;4.100.000;3.700.000;3.700.000;3.500.000;3.400.000;4.100.000;5.600.000
72;Estudiante 00072;4.400.000;5.000.000;5.100.000;5.500.000;5.200.000;4.900.000;5.200.000;6.800.000
73;Estudiante 00073;6.600.000;6.400.000;6.100.000;6.200.000;6.900.000;6.500.000;6.800.000;5.700.000
74;Estudiante 00074;5.500.000;5.900.000;6.000.000;5.400.000;6.500.000;5.500.000;5.600.000;6.100.000
75;Estudiante 00075;4.400.000;4.900.000;4.400.000;5.000.000;5.000.000;4.300.000;4.300.000;6.100.000
76;Estudiante 00076;4.300.000;5.000.000;5.200.000;4.300.000;5.200.000;4.400.000;5.000.000;6.700.000
77;Estudiante 00077;5.400.000;5.300.000;4.700.000;5.700.000;5.500.000;5.000.000;4.900.000;6.800.000
78;Estudiante 00078;4.600.000;4.700.000;5.500.000;5.300.000;4.800.000;5.700.000;4.600.000;5.600.000
79;Estudiante 00079;5.400.000;5.100.000;5.500.000;4.800.000;5.600.000;5.800.000;5.600.000;6.700.000
80;Estudiante 00080;6.200.000;6.400.000;6.600.000;6.800.000;6.700.000;6.600.000;6.200.000;6.300.000
81;Estudiante 00081;3.700.000;4.300.000;4.600.000;3.800.000;4.800.000;4.400.000;4.200.000;6.500.000
82;Estudiante 00082;6.500.000;6.500.000;6.100.000;6.100.000;6.400.000;6.900.000;6.000.000;6.300.000
83;Estudiante 00083;4.600.000;4.800.000;4.500.000;5.000.000;4.900.000;5.000.000;5.100.000;6.900.000
84;Estudiante 00084;5.400.000;4.800.000;5.100.000;5.300.000;4.900.000;5.000.000;5.300.000;6.100.000
85;Estudiante 00085;5.100.000;5.200.000;4.900.000;4.900.000;5.100.000;4.200.000;5.200.000;6.300.000
86;Estudiante 00086;7.000.000;6.300.000;6.300.000;6.200.000;6.100.000;6.300.000;6.500.000;6.700.000
87;Estudiante 00087;6.800.000;6.300.000;6.900.000;7.000.000;6.700.000;6.500.000;6.400.000;6.700.000
88;Estudiante 00088;6.300.000;6.500.000;6.100.000;5.900.000;6.000.000;5.800.000;6.200.000;7.000.000
89;Estudiante 00089;6.300.000;6.500.000;6.300.000;6.900.000;6.800.000;6.600.000;6.200.000;6.200.000
90;Estudiante 00090;5.300.000;6.000.000;6.000.000;5.900.000;6.500.000;5.700.000;6.300.000;6.900.000
91;Estudiante 00091;5.600.000;5.300.000;5.400.000;5.700.000;5.700.000;4.700.000;4.700.000;6.100.000
92;Estudiante 00092;6.700.000;6.300.000;6.000.000;6.400.000;6.000.000;6.700.000;6.700.000;5.600.000
93;Estudiante 00093;4.000.000;4.800.000;4.800.000;4.500.000;4.600.000;4.000.000;4.000.000;7.000.000
94;Estudiante 00094;4.800.000;4.300.000;4.400.000;4.700.000;3.700.000;3.800.000;3.700.000;6.000.000
95;Estudiante 00095;5.300.000;6.400.000;5.800.000;6.100.000;5.500.000;5.400.000;5.900.000;6.800.000
96;Estudiante 00096;4.400.000;3.600.000;3.600.000;4.400.000;4.300.000;3.700.000;3.800.000;6.100.000
97;Estudiante 00097;4.500.000;4.800.000;4.600.000;4.500.000;4.500.000;4.800.000;4.900.000;5.600.000
98;Estudiante 00098;5.700.000;6.500.000;6.200.000;5.700.000;6.800.000;5.700.000;6.400.000;5.600.000
99;Estudiante 00099;4.000.000;4.000.000;4.200.000;3.900.000;4.300.000;4.100.000;4.500.000;5.500.000
100;Estudiante 00100;5.500.000;5.200.000;4.800.000;5.700.000;4.900.000;4.700.000;5.400.000;7.000.000
101;Estudiante 00101;5.500.000;5.300.000;6.100.000;5.900.000;5.600.000;5.300.000;6.200.000;6.700.000
102;Estudiante 00102;5.800.000;5.800.000;5.500.000;4.700.000;5.200.000;5.600.000;5.600.000;6.300.000
103;Estudiante 00103;5.000.000;4.800.000;4.900.000;5.200.000;5.400.000;5.200.000;4.700.000;5.800.000
104;Estudiante 00104;6.100.000;6.900.000;7.000.000;6.700.000;6.700.000;6.000.000;6.800.000;6.400.000
105;Estudiante 00105;6.000.000;6.700.000;6.300.000;6.400.000;5.700.000;6.200.000;6.400.000;6.400.000
106;Estudiante 00106;6.800.000;6.800.000;6.100.000;6.100.000;6.700.000;6.500.000;6.700.000;5.900.000
107;Estudiante 00107;7.000.000;6.800.000;6.900.000;6.200.000;6.900.000;6.400.000;6.200.000;6.200.000
108;Estudiante 00108;6.300.000;6.000.000;6.400.000;5.900.000;6.800.000;6.000.000;5.900.000;6.300.000
109;Estudiante 00109;5.400.000;5.700.000;5.000.000;5.000.000;4.700.000;4.800.000;5.000.000;5.700.000
